4,998,dump
#
# used SQL: SELECT ROOMS,LIVINGSPACE,PRICE,YEAR FROM LANGNER.REALESTATES_HAMBURG WHERE (ROOMS IS NOT NULL) AND (LIVINGSPACE IS NOT NULL) AND (PRICE IS NOT NULL) AND (YEAR IS NOT NULL)
#
0.034722224,0.10137345,0.9765671,0.98058736
0.041666668,0.13211249,0.9765671,0.9915381
0.055555556,0.11706998,0.9765671,0.9696366
0.027777778,0.073904514,0.9765671,0.9850672
0.034722224,0.10922171,0.9765671,0.9990045
0.024305556,0.094833225,0.9765671,0.9950224
0.048611112,0.16677567,0.9765671,0.98456943
0.055555556,0.16677567,0.9765671,0.99203587
0.034722224,0.08502289,0.9765671,0.9825784
0.027777778,0.07521256,0.9765671,0.99950224
0.03125,0.0706344,0.9765671,0.99950224
0.03125,0.0706344,0.9765671,0.99950224
0.048611112,0.12230216,0.9765671,0.99203587
0.0625,0.1059516,0.9765671,0.99800897
0.034722224,0.088293,0.9765671,0.989547
0.034722224,0.08175278,0.9765671,0.98058736
0.034722224,0.08175278,0.9765671,0.98058736
0.055555556,0.19293655,0.9765671,0.88551515
0.027777778,0.107913665,0.9765671,0.9900448
0.034722224,0.094833225,0.9765866,0.97461426
0.034722224,0.078482665,0.97676235,0.9950224
0.034722224,0.094833225,0.97676235,0.9885515
0.0625,0.17985612,0.97676235,0.98456943
0.055555556,0.107913665,0.97676235,0.9452464
0.027777778,0.078482665,0.97676235,0.9990045
0.041666668,0.117724,0.97676235,0.9940269
0.041666668,0.094833225,0.97676235,0.9870582
0.034722224,0.082406804,0.97682095,0.99950224
0.041666668,0.12753433,0.97734815,0.9840717
0.027777778,0.07586658,0.97734815,0.96316576
0.055555556,0.13407455,0.97734815,0.97959185
0.041666668,0.09810334,0.97734815,0.99800897
0.024305556,0.08763898,0.97734815,0.9860627
0.034722224,0.07325049,0.97734815,0.99950224
0.07638889,0.19293655,0.97734815,0.93777996
0.027777778,0.08960105,0.97734815,0.97461426
0.024305556,0.10137345,0.97734815,0.97610754
